utc_timestamp,DE_LU_price_day_ahead,Is_price_negative,was_negative_1h_ago,wind_expected,solar_expected,DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal,hour,weekday,month,hour_sin,hour_cos,residual_load,is_holiday,is_winter,is_summer,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_12h,price_lag_24h,price_lag_48h,price_lag_72h,price_lag_168h,price_lag_336h,price_roll_mean_6h,price_roll_mean_12h,price_roll_mean_24h,price_roll_std_6h,price_roll_std_24h,price_delta_1h,load_lag_24h,DE_load_forecast_entsoe_transparency
2019-07-15 13:00:00+00:00,37.78,0,0.0,10629.385,15522.271799999999,21.501,602.817866729,137.415233271,13,0,7,-0.2588190451025208,-0.9659258262890683,38053.0,0,0,1,38.56,41.0,44.0,35.16,32.04,33.51,38.0,33.76,27.0,42.14000000000001,43.12833333333333,40.385,3.551180085547716,4.987660425666315,-0.7800000000000011,45245.0,63660.0
2019-07-15 14:00:00+00:00,37.26,0,0.0,11074.336,13921.320000000002,21.443,515.718186464,126.089013536,14,0,7,-0.4999999999999998,-0.8660254037844388,38106.0,0,0,1,37.78,38.56,41.0,34.93,32.17,33.56,38.64,34.47,26.72,40.650000000000006,43.3225,40.59708333333334,3.378301348309559,4.72442909287902,-0.5200000000000031,45403.0,62569.0
2019-07-15 15:00:00+00:00,37.77,0,0.0,11440.1846,11052.5337,21.086,387.536953438,118.687446562,15,0,7,-0.7071067811865471,-0.7071067811865479,40330.0,0,0,1,37.26,37.78,38.56,36.84,34.94,34.71,41.91,34.92,27.5,39.39500000000001,43.4,40.714999999999996,2.618638959457713,4.611051940720071,0.5100000000000051,46034.0,62291.0
2019-07-15 16:00:00+00:00,42.56,0,0.0,11929.6307,7199.311200000001,20.398,233.216520727,113.493779273,16,0,7,-0.8660254037844384,-0.5000000000000004,42959.0,0,0,1,37.77,37.26,37.78,44.91,37.84,36.91,50.9,38.0,31.03,39.15500000000001,43.20416666666667,40.91166666666667,2.1331643162189122,4.583673926740945,4.789999999999999,47641.0,61542.0
2019-07-15 17:00:00+00:00,45.94,0,0.0,12537.7304,3515.1333,19.323,95.8520494221,95.4000505779,17,0,7,-0.9659258262890683,-0.25881904510252063,44892.0,0,0,1,42.56,37.77,37.26,50.02,38.97,37.98,53.94,42.9,36.49,39.978333333333346,42.86416666666667,41.202083333333334,3.5019104309871554,4.675195396213013,3.3799999999999955,47547.0,60400.0
2019-07-15 18:00:00+00:00,44.08,0,0.0,12369.637799999999,974.4924,17.595,16.3263704879,44.6058295121,18,0,7,-1.0,-1.8369701987210297e-16,45108.0,0,0,1,45.94,42.56,37.77,50.06,39.91,37.79,53.92,38.35,36.32,40.89833333333334,42.365833333333335,41.37583333333333,3.7696281867920285,4.702496022390366,-1.8599999999999994,46960.0,57938.0
2019-07-15 19:00:00+00:00,43.44,0,0.0,12018.6209,44.747099999999996,15.65,0.131226839344,2.42687316066,19,0,7,-0.9659258262890684,0.2588190451025203,44018.0,0,0,1,44.08,45.94,42.56,47.94,39.05,37.72,48.31,37.93,34.93,41.841666666666676,41.990833333333335,41.558749999999996,3.5340425388862085,4.693464755706678,-0.6400000000000006,46799.0,55591.0
2019-07-15 20:00:00+00:00,44.6,0,0.0,12023.5648,0.0,14.742,0.0,0.0,20,0,7,-0.8660254037844386,0.5,41733.0,0,0,1,43.44,44.08,45.94,46.2,43.72,41.2,43.88,39.43,37.24,43.065000000000005,41.8575,41.595416666666665,2.831421904271954,4.714473532476667,1.1600000000000037,46575.0,53261.0
2019-07-15 21:00:00+00:00,38.16,0,0.0,11578.6138,0.0,14.019,0.0,0.0,21,0,7,-0.7071067811865477,0.7071067811865474,38226.0,0,0,1,44.6,43.44,44.08,45.3,39.11,38.17,41.42,34.63,31.97,43.13,41.262499999999996,41.55583333333333,2.6863134589974886,4.740166862471747,-6.440000000000005,43654.0,49339.0
2019-07-15 22:00:00+00:00,36.82,0,0.0,10745.484999999999,0.0,13.315,0.0,0.0,22,0,7,-0.5000000000000004,0.8660254037844384,35723.0,0,0,1,38.16,44.6,43.44,44.0,37.8,35.85,41.05,31.56,28.9,42.17333333333334,40.66416666666667,41.515,3.7438304804915234,4.777997579486887,-1.3399999999999963,41349.0,46028.0
2019-07-15 23:00:00+00:00,36.27,0,0.0,10112.525,0.0,12.601,0.0,0.0,23,0,7,-0.2588190451025215,0.9659258262890681,34941.0,0,0,1,36.82,38.16,44.6,41.0,36.58,35.04,38.38,30.19,26.97,40.561666666666675,40.27,41.50208333333333,3.877062891759281,4.792316294969671,-0.5499999999999972,39317.0,44638.0
2019-07-16 00:00:00+00:00,34.93,0,0.0,9909.779999999999,0.0,11.977,0.0,0.0,0,1,7,0.0,1.0,33747.0,0,0,1,36.27,36.82,38.16,38.56,36.45,33.77,36.87,29.81,25.48,39.03666666666668,39.9675,41.43875,4.013510516574777,4.871377193452277,-1.3400000000000034,38979.0,43248.0
2019-07-16 01:00:00+00:00,33.89,0,0.0,10166.92,0.0,11.505,0.0,0.0,1,1,7,0.25881904510252074,0.9659258262890683,33596.0,0,0,1,34.93,36.27,36.82,37.78,35.16,32.69,36.12,29.43,24.75,37.445000000000014,39.64333333333334,41.38583333333333,3.806303981553384,4.948829388740136,-1.0399999999999991,39292.0,43358.0
2019-07-16 02:00:00+00:00,33.13,0,0.0,10058.13,0.0,11.151,2.0506978588e-05,0.000779493021412,2,1,7,0.49999999999999994,0.8660254037844387,34694.0,0,0,1,33.89,34.93,36.27,37.26,34.93,32.15,37.02,29.95,24.91,35.53333333333334,39.299166666666665,41.310833333333335,1.8941031298889695,5.063239139101345,-0.759999999999998,41005.0,44337.0
2019-07-16 03:00:00+00:00,35.11,0,0.0,10265.82,89.50319999999999,10.94,0.516302492924,7.69889750708,3,1,7,0.7071067811865475,0.7071067811865476,37124.0,0,0,1,33.13,33.89,34.93,37.77,36.84,32.14,35.36,30.47,26.99,35.02500000000001,39.0775,41.23875,1.3905071017396387,5.14136787119675,1.9799999999999969,44655.0,47041.0
2019-07-16 04:00:00+00:00,39.21,0,0.0,10072.965,1158.5692000000001,11.933,18.2726890723,59.4912109277,4,1,7,0.8660254037844386,0.5000000000000001,42864.0,0,0,1,35.11,33.13,33.89,42.56,44.91,32.29,36.1,36.16,31.0,35.423333333333346,38.79833333333333,41.00125,2.145121597172328,5.095856212992694,4.100000000000001,52866.0,53636.0
2019-07-16 05:00:00+00:00,46.95,0,0.0,9800.99,3774.0516,13.416,63.799765796,121.233534204,5,1,7,0.9659258262890683,0.25881904510252074,46152.0,0,0,1,39.21,35.11,33.13,45.94,50.02,33.92,37.78,43.95,36.12,37.20333333333334,38.8825,40.873333333333335,5.218132488415346,4.894163930614533,7.740000000000002,58919.0,59210.0
2019-07-16 06:00:00+00:00,49.14,0,0.0,10082.855,7572.9652,14.889,139.377389181,168.516510819,6,1,7,1.0,6.123233995736766e-17,45092.0,0,0,1,46.95,39.21,35.11,44.08,50.06,35.46,38.46,44.06,36.1,39.57166666666668,39.30416666666667,40.835,6.92540949451052,4.822154488717846,2.1899999999999977,62190.0,62188.0
2019-07-16 07:00:00+00:00,47.95,0,0.0,10710.869999999999,11476.2992,16.288,250.99113538,193.47476462,7,1,7,0.9659258262890683,-0.25881904510252063,41890.0,0,0,1,49.14,46.95,39.21,43.44,47.94,36.92,39.83,41.09,33.33,41.91500000000001,39.68,40.83541666666667,6.996775685984976,4.822795490231564,-1.1899999999999977,63264.0,63487.0
2019-07-16 08:00:00+00:00,47.13,0,0.0,10903.725,14961.9516,17.726,387.818439489,193.341260511,8,1,7,0.8660254037844388,-0.4999999999999998,40054.0,0,0,1,47.95,49.14,46.95,44.6,46.2,37.0,39.82,38.17,32.75,44.24833333333334,39.89083333333333,40.87416666666667,5.694342513992105,4.871265273246468,-0.8200000000000003,65329.0,65314.0
2019-07-16 09:00:00+00:00,46.92,0,0.0,11061.965,17776.329999999998,19.158,549.055572928,169.333927072,9,1,7,0.7071067811865476,-0.7071067811865475,38427.0,0,0,1,47.13,47.95,49.14,38.16,45.3,37.16,39.0,38.04,31.8,46.216666666666676,40.62083333333334,40.94166666666667,3.5358261646549476,4.945911501404792,-0.21000000000000085,66830.0,66661.0
2019-07-16 10:00:00+00:00,42.07,0,0.0,10987.79,19854.7932,20.346,620.608366253,164.312433747,10,1,7,0.49999999999999994,-0.8660254037844387,35884.0,0,0,1,46.92,47.13,47.95,36.82,44.0,36.43,37.87,37.06,29.59,46.69333333333335,41.05833333333333,40.861250000000005,2.4186166845241654,4.909580086978209,-4.850000000000001,66294.0,66133.0
